Write to file (w) or plot (p):         131232 function calls (128634 primitive calls) in 4408.874 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.012    0.012 4408.878 4408.878 main.py:2(<module>)
        1 4408.133 4408.133 4408.133 4408.133 {raw_input}
        1    0.004    0.004    0.448    0.448 pyplot.py:17(<module>)
        1    0.006    0.006    0.270    0.270 figure.py:12(<module>)
        1    0.009    0.009    0.248    0.248 axes.py:1(<module>)
        2    0.014    0.007    0.209    0.105 __init__.py:3(<module>)
        8    0.030    0.004    0.202    0.025 __init__.py:1(<module>)
        1    0.004    0.004    0.192    0.192 triangulation.py:1(<module>)
        2    0.175    0.087    0.188    0.094 __init__.py:6(<module>)
        1    0.007    0.007    0.157    0.157 __init__.py:106(<module>)
        1    0.005    0.005    0.150    0.150 colorbar.py:20(<module>)
        3    0.004    0.001    0.090    0.030 {__import__}
        1    0.002    0.002    0.087    0.087 collections.py:10(<module>)
        1    0.001    0.001    0.083    0.083 add_newdocs.py:10(<module>)
        1    0.008    0.008    0.072    0.072 backend_bases.py:28(<module>)
        1    0.006    0.006    0.067    0.067 pkg_resources.py:15(<module>)
      612    0.002    0.000    0.057    0.000 re.py:226(_compile)
       95    0.000    0.000    0.055    0.001 re.py:188(compile)
       96    0.001    0.000    0.054    0.001 sre_compile.py:493(compile)
        1    0.008    0.008    0.052    0.052 __init__.py:99(<module>)
        1    0.001    0.001    0.045    0.045 type_check.py:3(<module>)
        1    0.004    0.004    0.045    0.045 __init__.py:15(<module>)
        1    0.007    0.007    0.036    0.036 textpath.py:3(<module>)
       28    0.001    0.000    0.036    0.001 pkg_resources.py:472(add_entry)
      224    0.003    0.000    0.031    0.000 pkg_resources.py:1802(find_on_path)
        1    0.002    0.002    0.031    0.031 artist.py:1(<module>)
       96    0.001    0.000    0.029    0.000 sre_parse.py:675(parse)
       27    0.000    0.000    0.028    0.001 {map}
   311/96    0.001    0.000    0.027    0.000 sre_parse.py:301(_parse_sub)
  417/104    0.009    0.000    0.027    0.000 sre_parse.py:379(_parse)
        1    0.005    0.005    0.027    0.027 contour.py:4(<module>)
       11    0.000    0.000    0.025    0.002 artist.py:1304(kwdoc)
       96    0.000    0.000    0.025    0.000 sre_compile.py:478(_code)
        1    0.000    0.000    0.023    0.023 pkg_resources.py:430(_build_master)
        1    0.000    0.000    0.023    0.023 pkg_resources.py:417(__init__)
        1    0.002    0.002    0.022    0.022 inspect.py:25(<module>)
        1    0.004    0.004    0.020    0.020 __init__.py:7(<module>)
   814/96    0.006    0.000    0.019    0.000 sre_compile.py:32(_compile)
        1    0.000    0.000    0.019    0.019 __init__.py:14(pylab_setup)
       11    0.001    0.000    0.019    0.002 artist.py:1018(pprint_setters)
        1    0.005    0.005    0.018    0.018 backend_tkagg.py:3(<module>)
      312    0.017    0.000    0.017    0.000 {posix.stat}
        1    0.004    0.004    0.017    0.017 widgets.py:10(<module>)
        1    0.001    0.001    0.017    0.017 pyparsing.py:58(<module>)
        1    0.001    0.001    0.016    0.016 tokenize.py:23(<module>)
        1    0.005    0.005    0.016    0.016 font_manager.py:21(<module>)
        1    0.002    0.002    0.015    0.015 __init__.py:45(<module>)
      273    0.011    0.000    0.014    0.000 function_base.py:2945(add_newdoc)
      235    0.001    0.000    0.014    0.000 genericpath.py:38(isdir)
        1    0.013    0.013    0.013    0.013 triangulate.py:1(<module>)
       11    0.003    0.000    0.013    0.001 artist.py:939(_get_setters_and_targets)
        1    0.002    0.002    0.012    0.012 dates.py:108(<module>)
        1    0.004    0.004    0.012    0.012 ticker.py:123(<module>)
        1    0.000    0.000    0.011    0.011 pkg_resources.py:732(subscribe)
      100    0.000    0.000    0.011    0.000 pkg_resources.py:2760(<lambda>)
      100    0.000    0.000    0.011    0.000 pkg_resources.py:2308(activate)
        1    0.003    0.003    0.011    0.011 urllib.py:23(<module>)
      547    0.008    0.000    0.010    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.006    0.006    0.009    0.009 Image.py:27(<module>)
        1    0.007    0.007    0.009    0.009 Tkinter.py:31(<module>)
        1    0.008    0.008    0.009    0.009 laguerre.py:59(<module>)
      286    0.001    0.000    0.009    0.000 sre_compile.py:178(_compile_charset)
        1    0.006    0.006    0.009    0.009 polynomial.py:55(<module>)
      200    0.002    0.000    0.008    0.000 pkg_resources.py:2192(from_location)
        1    0.002    0.002    0.008    0.008 decimal.py:116(<module>)
        1    0.004    0.004    0.008    0.008 numeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 font_manager.py:942(pickle_load)
        1    0.007    0.007    0.007    0.007 {cPickle.load}
      286    0.005    0.000    0.007    0.000 sre_compile.py:207(_optimize_charset)
        1    0.002    0.002    0.007    0.007 cm.py:6(<module>)
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
     3660    0.002    0.000    0.007    0.000 sre_parse.py:201(get)
       16    0.000    0.000    0.007    0.000 pyparsing.py:1723(__init__)
      520    0.002    0.000    0.007    0.000 inspect.py:804(getargspec)
       11    0.005    0.000    0.007    0.001 collections.py:288(namedtuple)
        1    0.002    0.002    0.007    0.007 parser.py:7(<module>)
        1    0.006    0.006    0.007    0.007 __init__.py:88(<module>)
        1    0.003    0.003    0.007    0.007 __init__.py:38(<module>)
        6    0.000    0.000    0.007    0.001 string.py:148(substitute)
        1    0.001    0.001    0.006    0.006 ctypeslib.py:51(<module>)
